beat_index_0,source_bar,beat_in_bar,source_time_sec,retained_in_recommended_edit,edited_bar,edited_time_sec
343,86,4,156.157313,true,70,127.066404
344,87,1,156.611858,true,71,127.520949
345,87,2,157.066404,true,71,127.975494
346,87,3,157.520949,true,71,128.430040
347,87,4,157.975494,true,71,128.884585
348,88,1,158.430040,true,72,129.339131
349,88,2,158.884585,true,72,129.793676
350,88,3,159.339131,true,72,130.248222
351,88,4,159.793676,true,72,130.702767
352,89,1,160.248222,false,,
353,89,2,160.702767,false,,
354,89,3,161.157313,false,,
355,89,4,161.611858,false,,
356,90,1,162.066404,false,,
357,90,2,162.520949,false,,
358,90,3,162.975494,false,,
359,90,4,163.430040,false,,
360,91,1,163.884585,false,,
361,91,2,164.339131,false,,
362,91,3,164.793676,false,,
363,91,4,165.248222,false,,
364,92,1,165.702767,false,,
365,92,2,166.157313,false,,
366,92,3,166.611858,false,,
367,92,4,167.066404,false,,
368,93,1,167.520949,false,,
369,93,2,167.975494,false,,
370,93,3,168.430040,false,,
371,93,4,168.884585,false,,
372,94,1,169.339131,false,,
373,94,2,169.793676,false,,
374,94,3,170.248222,false,,
375,94,4,170.702767,false,,
376,95,1,171.157313,false,,
377,95,2,171.611858,false,,
378,95,3,172.066404,false,,
379,95,4,172.520949,false,,
380,96,1,172.975494,false,,
381,96,2,173.430040,false,,
382,96,3,173.884585,false,,
383,96,4,174.339131,false,,
384,97,1,174.793676,true,73,131.157313
385,97,2,175.248222,true,73,131.611858
386,97,3,175.702767,true,73,132.066404
387,97,4,176.157313,true,73,132.520949
388,98,1,176.611858,true,74,132.975494
389,98,2,177.066404,true,74,133.430040
390,98,3,177.520949,true,74,133.884585
391,98,4,177.975494,true,74,134.339131
392,99,1,178.430040,true,75,134.793676
393,99,2,178.884585,true,75,135.248222
394,99,3,179.339131,true,75,135.702767
395,99,4,179.793676,true,75,136.157313
396,100,1,180.248222,true,76,136.611858
397,100,2,180.702767,true,76,137.066404
398,100,3,181.157313,true,76,137.520949
399,100,4,181.611858,true,76,137.975494
400,101,1,182.066404,true,77,138.430040
401,101,2,182.520949,true,77,138.884585
402,101,3,182.975494,true,77,139.339131
403,101,4,183.430040,true,77,139.793676
404,102,1,183.884585,true,78,140.248222
405,102,2,184.339131,true,78,140.702767
406,102,3,184.793676,true,78,141.157313
407,102,4,185.248222,true,78,141.611858
408,103,1,185.702767,true,79,142.066404
409,103,2,186.157313,true,79,142.520949
410,103,3,186.611858,true,79,142.975494
411,103,4,187.066404,true,79,143.430040
412,104,1,187.520949,true,80,143.884585
413,104,2,187.975494,true,80,144.339131
414,104,3,188.430040,true,80,144.793676
415,104,4,188.884585,true,80,145.248222
